timestamp;windSpeedHH;windDir;assPowerWT1;assPowerWT2;assPowerC;realPowerWT1;realPowerWT2;realPowerCFree;realPowerCRisoe;windSpeedWT1;windSpeedWT2
708;13.3;-1.0;531.520;531.520;1063.040;510.931;444.704;1021.861;955.635;13.320;11.8
709;12.4;1.9;493.900;493.900;987.800;474.768;370.446;949.536;845.214;12.420;10.7
710;12.9;1.1;514.150;514.150;1028.300;494.234;409.774;988.467;904.008;12.870;11.3
711;13.2;0.3;527.920;527.920;1055.840;507.470;437.113;1014.940;944.583;13.220;11.7
712;12.6;2.3;500.650;500.650;1001.300;481.256;385.832;962.513;867.089;12.570;10.9
713;13.8;-1.1;548.800;548.800;1097.600;527.541;472.353;1055.083;999.895;13.800;12.3
714;13.7;1.0;544.120;544.120;1088.240;523.043;465.938;1046.085;988.980;13.670;12.2
715;11.7;0.1;452.600;452.600;905.200;435.068;302.680;870.136;737.747;11.680;9.8
716;13.1;0.9;521.800;521.800;1043.600;501.587;424.294;1003.174;925.881;13.050;11.5
717;13.3;0.3;529.000;529.000;1058.000;508.508;439.376;1017.017;947.884;13.250;11.7
718;13.6;-0.8;541.600;541.600;1083.200;520.620;462.573;1041.240;983.193;13.600;12.1
719;12.5;2.3;497.950;497.950;995.900;478.661;380.655;957.322;859.316;12.510;10.8
720;14.4;2.8;563.175;563.175;1126.350;541.359;503.243;1082.719;1044.603;14.410;13.0
721;13.5;-0.9;537.280;537.280;1074.560;516.467;456.727;1032.935;973.195;13.480;12.0
722;14.0;0.1;554.560;554.560;1109.120;533.078;480.176;1066.156;1013.254;13.960;12.5
723;15.2;-2.4;573.500;573.500;1147.000;551.284;530.729;1102.569;1082.013;15.180;13.8
724;14.8;-3.2;569.125;569.125;1138.250;547.079;514.373;1094.158;1061.452;14.750;13.4
725;14.9;0.6;571.400;571.400;1142.800;549.266;519.351;1098.532;1068.616;14.880;13.5
726;14.1;-1.3;557.400;557.400;1114.800;535.808;485.970;1071.616;1021.779;14.080;12.6
727;14.3;0.3;561.425;561.425;1122.850;539.677;496.892;1079.354;1036.569;14.310;12.9
728;14.8;-1.9;570.700;570.700;1141.400;548.593;517.843;1097.186;1066.436;14.840;13.5
729;12.8;-0.8;511.900;511.900;1023.800;492.071;405.744;984.141;897.815;12.820;11.2
730;13.7;1.3;544.480;544.480;1088.960;523.389;466.413;1046.777;989.802;13.680;12.2
731;12.8;-0.5;509.650;509.650;1019.300;489.908;401.611;979.816;891.518;12.770;11.1
732;15.0;-2.8;573.325;573.325;1146.650;551.116;523.629;1102.233;1074.746;14.990;13.6
733;14.3;0.6;561.950;561.950;1123.900;540.182;498.312;1080.364;1038.494;14.340;12.9
734;14.0;-0.3;555.640;555.640;1111.280;534.116;481.663;1068.233;1015.779;13.990;12.5
735;14.1;0.3;558.275;558.275;1116.550;536.649;488.316;1073.299;1024.965;14.130;12.7
736;13.3;-0.2;530.440;530.440;1060.880;509.892;442.414;1019.785;952.307;13.290;11.7
737;14.1;-1.3;558.450;558.450;1116.900;536.818;488.824;1073.635;1025.641;14.140;12.7
738;13.3;-0.6;531.520;531.520;1063.040;510.931;444.693;1021.861;955.623;13.320;11.8
739;16.6;-0.4;574.892;574.892;1149.784;552.623;551.284;1105.245;1103.907;16.580;15.3
740;14.2;0.2;559.500;559.500;1119.000;537.827;491.650;1075.654;1029.476;14.200;12.8
741;14.9;-2.1;571.925;571.925;1143.850;549.771;520.542;1099.541;1070.313;14.910;13.5
742;14.8;-1.0;569.650;569.650;1139.300;547.584;515.526;1095.167;1063.110;14.780;13.4
743;14.5;1.1;564.050;564.050;1128.100;542.201;503.197;1084.401;1045.397;14.460;13.0
744;14.0;-2.9;555.640;555.640;1111.280;534.116;481.681;1068.233;1015.797;13.990;12.5
745;13.0;1.7;519.550;519.550;1039.100;499.424;419.658;998.849;919.082;12.990;11.4
746;13.7;-1.0;544.840;544.840;1089.680;523.735;466.971;1047.469;990.706;13.690;12.2
747;15.0;2.8;573.500;573.500;1147.000;551.284;526.737;1102.569;1078.022;15.030;13.7
748;14.1;2.5;557.925;557.925;1115.850;536.313;488.826;1072.626;1025.139;14.110;12.7
749;14.3;2.1;560.550;560.550;1121.100;538.836;494.856;1077.672;1033.692;14.260;12.8
750;13.9;-1.0;552.040;552.040;1104.080;530.656;476.765;1061.312;1007.421;13.890;12.4
751;15.9;-2.3;573.500;573.500;1147.000;551.284;546.521;1102.569;1097.805;15.940;14.7
752;14.8;-2.0;569.650;569.650;1139.300;547.584;515.532;1095.167;1063.116;14.780;13.4
753;14.9;1.3;570.875;570.875;1141.750;548.761;518.172;1097.522;1066.933;14.850;13.5
754;14.1;1.4;558.625;558.625;1117.250;536.986;489.223;1073.971;1026.208;14.150;12.7
755;13.1;0.0;524.320;524.320;1048.640;504.010;429.603;1008.019;933.612;13.120;11.5
756;12.7;1.9;507.400;507.400;1014.800;487.745;397.351;975.490;885.096;12.720;11.1
757;12.9;-0.3;514.600;514.600;1029.200;494.666;410.680;989.332;905.346;12.880;11.3
758;12.3;0.1;486.250;486.250;972.500;467.414;354.588;934.829;822.002;12.250;10.5
759;14.2;1.3;559.675;559.675;1119.350;537.995;492.085;1075.990;1030.080;14.210;12.8
760;14.1;1.0;557.225;557.225;1114.450;535.640;485.435;1071.280;1021.075;14.070;12.6
761;15.3;-3.2;573.500;573.500;1147.000;551.284;535.189;1102.569;1086.473;15.320;14.0
762;14.6;0.7;566.325;566.325;1132.650;544.387;508.191;1088.775;1052.578;14.590;13.2
763;14.2;-1.4;558.975;558.975;1117.950;537.322;490.252;1074.644;1027.574;14.170;12.7
764;14.8;0.4;569.475;569.475;1138.950;547.415;515.117;1094.831;1062.532;14.770;13.4
765;12.5;2.8;498.850;498.850;997.700;479.526;385.266;959.052;864.792;12.530;10.9
766;15.9;0.5;573.500;573.500;1147.000;551.284;546.138;1102.569;1097.423;15.920;14.6
767;13.8;-1.8;550.240;550.240;1100.480;528.925;474.320;1057.851;1003.245;13.840;12.4
768;14.3;-1.0;561.950;561.950;1123.900;540.182;498.352;1080.364;1038.534;14.340;12.9
769;13.4;1.9;534.040;534.040;1068.080;513.353;449.840;1026.706;963.193;13.390;11.9
770;13.9;1.1;550.960;550.960;1101.920;529.618;475.234;1059.235;1004.852;13.860;12.4
771;14.2;0.3;560.025;560.025;1120.050;538.331;493.075;1076.663;1031.407;14.230;12.8
772;13.5;2.2;539.440;539.440;1078.880;518.544;460.084;1037.088;978.627;13.540;12.0
773;14.8;-1.0;570.700;570.700;1141.400;548.593;517.837;1097.186;1066.430;14.840;13.5
774;14.7;0.9;568.425;568.425;1136.850;546.406;512.793;1092.812;1059.199;14.710;13.3
775;12.6;0.1;502.450;502.450;1004.900;482.987;388.286;965.973;871.273;12.610;10.9
776;14.1;0.9;557.050;557.050;1114.100;535.472;484.966;1070.943;1020.438;14.060;12.6
777;14.3;0.3;560.375;560.375;1120.750;538.668;494.030;1077.336;1032.698;14.250;12.8
778;14.6;-0.8;567.200;567.200;1134.400;545.229;510.141;1090.457;1055.369;14.640;13.2
779;13.5;2.3;537.280;537.280;1074.560;516.467;457.367;1032.935;973.834;13.480;12.0
780;15.5;2.8;573.500;573.500;1147.000;551.284;538.668;1102.569;1089.953;15.470;14.2
